GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2009,2009,2009,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.2,0.2 [0.0-0.8],0.0,0.8
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2002,2002,2002,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_FMLE,Female,276.437,276 [182-389],182.0,389.0
HEMOGLOBINLEVEL_PREGNANT_MEAN,Mean hemoglobin level of pregnant women (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-pregnant-women-%28aged-15-49-years%29,2000,2000,2000,EMR,Eastern Mediterranean,LBN,Lebanon,,,,117.0,117 [112-122],112.0,122.0
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,1.31,1.31 [0.14-5.62],0.14,5.62
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2015,2015,2015,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.3,0.3 [0.03-0.88],0.03,0.88
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2016,2016,2016,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,480.0,480 [270-737],270.0,737.0
HEMOGLOBINLEVEL_PREGNANT_MEAN,Mean hemoglobin level of pregnant women (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-pregnant-women-%28aged-15-49-years%29,2013,2013,2013,EMR,Eastern Mediterranean,LBN,Lebanon,,,,117.0,117 [112-122],112.0,122.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2019,2019,2019,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.7,0.7 [0.1-2.3],0.1,2.3
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2003,2003,2003,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_FMLE,Female,299.078,299 [194-423],194.0,423.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2009,2009,2009,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,25.1,25.1 [15.0-37.4],15.0,37.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2019,2019,2019,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,18.3,18.3 [9.2-28.3],9.2,28.3
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2011,2011,2011,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,25.2,25.2 [14.7-37.9],14.7,37.9
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2007,2007,2007,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,7.89,7.89 [4.15-11.8],4.15,11.8
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2019,2019,2019,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,9.4,9.4 [3.5-21.4],3.5,21.4
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2003,2003,2003,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,31.5,31.5 [12.3-66.5],12.3,66.5
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.7,0.7 [0.1-2.1],0.1,2.1
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2011,2011,2011,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,346.0,346 [199-524],199.0,524.0
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2018,2018,2018,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,20.1,20.1 [8.56-32.1],8.56,32.1
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2019,2019,2019,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,9.4,9.4 [3.7-21.2],3.7,21.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,15.7,15.7 [8.1-24.7],8.1,24.7
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2016,2016,2016,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.1,0.1 [0.0-0.4],0.0,0.4
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2005,2005,2005,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,28.6,28.6 [10.8-63.6],10.8,63.6
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2003,2003,2003,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,9.6,9.6 [4.6-16.9],4.6,16.9
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2018,2018,2018,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_FMLE,Female,20.099,20 [9-32],9.0,32.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2003,2003,2003,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,1.0,1.0 [0.1-2.7],0.1,2.7
HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-women-of-reproductive-age-%28aged-15-49-years%29,2012,2012,2012,EMR,Eastern Mediterranean,LBN,Lebanon,,,,127.0,127 [122-130],122.0,130.0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2012,2012,2012,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_FMLE,Female,25.4,25.4 [14.5-38.4],14.5,38.4
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2002,2002,2002,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,8.41,8.41 [4.48-12.3],4.48,12.3
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2009,2009,2009,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.8,0.8 [0.1-2.4],0.1,2.4
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2010,2010,2010,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,113.0,113 [50.4-216],50.4,216.0
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2005,2005,2005,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.31,0.31 [0.03-0.83],0.03,0.83
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2016,2016,2016,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,19.6,19.6 [8.86-30.4],8.86,30.4
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2003,2003,2003,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,1.49,1.49 [0.17-6.17],0.17,6.17
HEMOGLOBINLEVEL_NONPREGNANT_MEAN,Mean hemoglobin level of non-pregnant women (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-non-pregnant-women-%28aged-15-49-years%29,2015,2015,2015,EMR,Eastern Mediterranean,LBN,Lebanon,,,,127.0,127 [122-131],122.0,131.0
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,110.0,110 [52.1-194],52.1,194.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2013,2013,2013,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,21.5,21.5 [10.2-34.3],10.2,34.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2010,2010,2010,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.1,0.1 [0.0-0.7],0.0,0.7
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,8.7,8.7 [3.9-17.0],3.9,17.0
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2017,2017,2017,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,107.0,107 [47.7-172],47.7,172.0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,26.2,26.2 [15.0-40.0],15.0,40.0
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2005,2005,2005,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,111.0,111 [51.7-201],51.7,201.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2018,2018,2018,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.7,0.7 [0.1-2.2],0.1,2.2
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2004,2004,2004,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_FMLE,Female,293.589,294 [188-423],188.0,423.0
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2019,2019,2019,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,12.5,12.5 [5.79-19.4],5.79,19.4
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2008,2008,2008,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,25.1,25.1 [15.0-37.4],15.0,37.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2002,2002,2002,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,26.0,26.0 [17.3-36.2],17.3,36.2
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2011,2011,2011,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,217.0,217 [124-324],124.0,324.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2013,2013,2013,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,8.7,8.7 [4.0-16.8],4.0,16.8
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2017,2017,2017,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_FMLE,Female,494.528,495 [270-771],270.0,771.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2012,2012,2012,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.7,0.7 [0.1-2.1],0.1,2.1
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,21.6,21.6 [10.3-34.5],10.3,34.5
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2007,2007,2007,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,25.2,25.2 [15.1-37.3],15.1,37.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2008,2008,2008,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,21.7,21.7 [10.8-35.4],10.8,35.4
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2003,2003,2003,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.3,0.3 [0.0-1.4],0.0,1.4
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2009,2009,2009,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,14.1,14.1 [6.75-21.3],6.75,21.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2012,2012,2012,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,21.3,21.3 [10.2-34.3],10.2,34.3
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2003,2003,2003,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,7.3,7.3 [2.8-15.4],2.8,15.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2010,2010,2010,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,119.0,119 [54.7-224],54.7,224.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2005,2005,2005,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_TOTAL,Total,25.6,25.6 [16.2-37.1],16.2,37.1
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2012,2012,2012,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,126.0,126 [55.9-245],55.9,245.0
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2015,2015,2015,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,295.0,295 [162-445],162.0,445.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,17.0,17.0 [7.5-27.2],7.5,27.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2001,2001,2001,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,10.1,10.1 [5.1-17.1],5.1,17.1
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2005,2005,2005,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_FMLE,Female,13.398,13 [7-20],7.0,20.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2006,2006,2006,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,6.4,6.4 [2.4-14.6],2.4,14.6
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,0.7,0.7 [0.1-2.1],0.1,2.1
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2009,2009,2009,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,10.7,10.7 [1.25-30.7],1.25,30.7
HEMOGLOBINLEVEL_CHILDREN_MEAN,Mean hemoglobin level of children aged 6-59 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-children-aged-6-59-months,2000,2000,2000,EMR,Eastern Mediterranean,LBN,Lebanon,,,,117.0,117 [112-122],112.0,122.0
HEMOGLOBINLEVEL_PREGNANT_MEAN,Mean hemoglobin level of pregnant women (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-pregnant-women-%28aged-15-49-years%29,2019,2019,2019,EMR,Eastern Mediterranean,LBN,Lebanon,,,,117.0,117 [111-122],111.0,122.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2000,2000,2000,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MILD,Mild,162.0,162 [105-226],105.0,226.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2006,2006,2006,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_SEVERE,Severe,11.9,11.9 [1.43-32.2],1.43,32.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2012,2012,2012,EMR,Eastern Mediterranean,LBN,Lebanon,SEVERITY,SEVERITY_MODERATE,Moderate,132.0,132 [59.3-255],59.3,255.0
